PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TIME_OF_POSS,TOUCHES,FRONT_CT_TOUCHES,AVG_DRIB_PER_TOUCH,SEASON
1630595,Cade Cunningham,DET,84.1,939,298,4.99,2022-23
1631216,Caleb Houstan,ORL,16.6,711,436,0.44,2022-23
1628997,Caleb Martin,MIA,115.2,2765,1539,1.62,2022-23
1629629,Cam Reddish,POR,58.8,1139,713,2.17,2022-23
1630560,Cam Thomas,BKN,134.1,1649,766,4.34,2022-23
1629661,Cameron Johnson,BKN,62.2,1658,1074,1.67,2022-23
1626166,Cameron Payne,PHX,199.0,2383,837,4.4,2022-23
1627747,Caris LeVert,CLE,207.9,3486,2052,3.01,2022-23
1630637,Carlik Jones,CHI,6.1,86,36,3.87,2022-23
1626224,Cedi Osman,CLE,85.3,2168,1483,1.55,2022-23
1628435,Chance Comanche,POR,0.8,24,9,0.46,2022-23
1629646,Charles Bassey,SAS,21.6,871,496,0.42,2022-23
1631320,Chima Moneke,SAC,0.2,13,10,0.54,2022-23
1629002,Chimezie Metu,SAC,30.6,1032,607,0.8,2022-23
1628449,Chris Boucher,TOR,49.7,1778,934,0.6,2022-23
1630537,Chris Duarte,IND,49.0,1339,869,1.54,2022-23
101108,Chris Paul,PHX,409.6,4394,1598,4.79,2022-23
1629735,Chris Silva,DAL,0.1,4,1,1.0,2022-23
1631128,Christian Braun,DEN,50.4,1391,805,1.24,2022-23
1631132,Christian Koloko,TOR,17.0,850,548,0.27,2022-23
1626174,Christian Wood,DAL,116.6,3083,1745,1.04,2022-23
1629643,Chuma Okeke,ORL,22.2,650,343,1.25,2022-23
203991,Clint Capela,ATL,52.2,2402,1168,0.27,2022-23
1629632,Coby White,CHI,157.6,2800,1355,2.69,2022-23
1628998,Cody Martin,CHA,6.4,150,93,1.66,2022-23
203469,Cody Zeller,MIA,10.2,345,219,0.64,2022-23
1630175,Cole Anthony,ORL,249.0,3172,1133,4.1,2022-23
1631306,Cole Swider,LAL,1.6,56,31,0.7,2022-23
1629012,Collin Sexton,UTA,178.0,2202,927,4.31,2022-23
1630557,Corey Kispert,WAS,60.6,2416,1489,0.64,2022-23
202709,Cory Joseph,DET,204.8,2510,961,4.96,2022-23
1626156,D'Angelo Russell,LAL,383.1,5621,2422,3.43,2022-23
1630227,Daishen Nix,HOU,153.4,2050,833,4.32,2022-23
1630625,Dalano Banton,TOR,40.0,638,295,2.86,2022-23
1631207,Dalen Terry,CHI,14.1,310,157,2.17,2022-23
1627745,Damian Jones,UTA,10.4,485,284,0.3,2022-23
203081,Damian Lillard,POR,439.5,5111,2168,4.57,2022-23
1627814,Damion Lee,PHX,82.3,2116,1271,1.61,2022-23
1629655,Daniel Gafford,WAS,57.2,2279,1274,0.35,2022-23
1628464,Daniel Theis,IND,4.2,166,126,0.39,2022-23
201980,Danny Green,CLE,5.6,207,129,0.84,2022-23
1627863,Danuel House Jr.,PHI,33.7,936,498,1.28,2022-23
203967,Dario Saric,OKC,38.8,1350,793,0.83,2022-23
1629647,Darius Bazley,PHX,34.0,998,484,1.17,2022-23
1630620,Darius Days,HOU,0.9,43,22,0.14,2022-23
1629636,Darius Garland,CLE,504.4,5289,2022,5.39,2022-23
1630561,David Duke Jr.,BKN,19.2,320,156,3.03,2022-23
1631223,David Roddy,MEM,48.7,1461,909,1.13,2022-23
1630558,Davion Mitchell,SAC,211.9,2807,1016,4.43,2022-23
202722,Davis Bertans,DAL,12.2,598,362,0.44,2022-23
1628432,Davon Reed,LAL,29.3,627,306,2.06,2022-23
1630549,Day'Ron Sharpe,BKN,25.8,900,546,0.69,2022-23
1628368,De'Aaron Fox,SAC,478.9,5706,1788,4.67,2022-23
1629631,De'Andre Hunter,ATL,94.6,2545,1589,1.39,2022-23
1629001,De'Anthony Melton,PHI,160.9,3662,1838,1.87,2022-23
201599,DeAndre Jordan,DEN,17.0,768,442,0.24,2022-23
201942,DeMar DeRozan,CHI,334.3,4336,2628,3.74,2022-23
1629731,Dean Wade,CLE,27.5,989,568,0.5,2022-23
1629028,Deandre Ayton,PHX,95.0,3477,1866,0.47,2022-23
1627749,Dejounte Murray,ATL,438.6,5371,2115,4.45,2022-23
1626153,Delon Wright,WAS,197.5,2374,937,4.48,2022-23
1630166,Deni Avdija,WAS,159.5,3406,1640,2.06,2022-23
203471,Dennis Schroder,LAL,291.0,3670,1555,4.16,2022-23
1628372,Dennis Smith Jr.,CHA,205.0,2908,1232,3.85,2022-23
1629126,Deonte Burton,SAC,0.1,4,3,0.25,2022-23
1631220,Dereon Seabron,NOP,0.8,14,8,2.57,2022-23
1627884,Derrick Jones Jr.,CHI,24.2,1126,601,0.4,2022-23
201565,Derrick Rose,NYK,51.3,725,289,3.86,2022-23
1628401,Derrick White,BOS,263.7,3906,1667,3.43,2022-23
1630217,Desmond Bane,MEM,180.8,3699,2004,2.12,2022-23
1626164,Devin Booker,PHX,272.3,3396,1940,4.15,2022-23
1630170,Devin Vassell,SAS,115.0,2021,1241,2.51,2022-23
1629653,Devon Dotson,WAS,6.7,98,54,3.65,2022-23
1628984,Devonte' Graham,SAS,150.2,2546,1212,2.87,2022-23
203473,Dewayne Dedmon,PHI,21.3,719,394,0.49,2022-23
1628415,Dillon Brooks,MEM,133.8,3006,1952,1.78,2022-23
1627734,Domantas Sabonis,SAC,267.6,6599,3801,1.4,2022-23
1631230,Dominick Barlow,SAS,10.3,400,234,0.56,2022-23
1628378,Donovan Mitchell,CLE,381.1,4606,2160,4.46,2022-23
1631495,Donovan Williams,ATL,0.4,7,3,2.14,2022-23
1628978,Donte DiVincenzo,GSW,153.2,3432,1651,2.11,2022-23
1627827,Dorian Finney-Smith,BKN,64.6,2486,1463,0.67,2022-23
203926,Doug McDermott,SAS,49.1,1775,1286,0.79,2022-23
203110,Draymond Green,GSW,161.0,5239,2855,0.88,2022-23
1629234,Drew Eubanks,POR,59.4,2147,1189,0.54,2022-23
1630696,Dru Smith,BKN,20.1,281,99,4.25,2022-23
1630613,Duane Washington Jr.,NYK,77.4,929,378,4.68,2022-23
1629130,Duncan Robinson,MIA,28.0,968,675,0.82,2022-23
203939,Dwight Powell,DAL,50.6,1904,1090,0.55,2022-23
1629685,Dylan Windler,CLE,0.4,19,15,0.21,2022-23
1630700,Dyson Daniels,NOP,93.7,1715,792,2.58,2022-23
1628410,Edmond Sumner,BKN,81.6,1238,583,3.45,2022-23
201569,Eric Gordon,LAC,154.1,2664,1612,2.88,2022-23
1630647,Eugene Omoruyi,DET,21.1,814,529,0.76,2022-23
203095,Evan Fournier,NYK,24.3,602,433,1.77,2022-23
1630596,Evan Mobley,CLE,152.6,4734,2466,0.74,2022-23
1630267,Facundo Campazzo,DAL,7.1,119,59,3.26,2022-23
1628402,Frank Jackson,UTA,0.6,10,2,3.2,2022-23
