PLAYER_NAME,POS,AGE,TEAM,GP,MP,PG%,SG%,SF%,PF%,C%,ON-COURT,ON_OFF,BAD_PASS,LOST_BALL,FOUL_SHOOT,OFF_FOUL,FOUL_SHOOT_DRAWN,OFF_FOUL_DRAWN,PGA,AND1,BLKD
Seth Curry,SG,29,DAL,64,1576,,73%,27%,1%,,3.8,-2.0,24,19,39,7,28,11,306,10,14
,,,,,,,,,,,,,,,,,,,,,
Stephen Curry,PG,31,GSW,5,139,100%,,,,,-14.9,-6.4,9,4,3,2,13,1,77,3,4
Troy Daniels,SG,28,TOT,47,532,8%,38%,53%,2%,,2.4,-3.3,3,3,19,2,7,1,42,4,4
Troy Daniels,SG,28,LAL,41,456,,37%,61%,2%,,3.0,-3.3,2,3,15,1,7,1,35,4,4
Troy Daniels,SG,28,DEN,6,76,57%,43%,,,,-1.1,-3.4,1,0,4,1,0,0,7,0,0
Anthony Davis,PF,26,LAL,62,2131,,,,60%,40%,4.7,-3.0,70,47,99,16,179,16,487,54,41
Ed Davis,C,30,UTA,28,303,,,,,100%,-16.5,-20.5,4,1,38,4,4,0,31,2,6
Terence Davis,SG,22,TOR,72,1209,7%,61%,33%,,,8.6,3.0,38,18,53,9,26,4,281,11,28
Dewayne Dedmon,C,30,TOT,44,774,,,,,100%,-2.0,2.0,22,10,68,17,18,7,51,8,13
Dewayne Dedmon,C,30,SAC,34,541,,,,,100%,-3.0,-1.0,16,9,47,14,12,4,35,4,9
Dewayne Dedmon,C,30,ATL,10,233,,,,,100%,0.4,9.0,6,1,21,3,6,3,16,4,4
Matthew Dellavedova,PG,29,CLE,57,821,56%,44%,,,,0.3,11.2,43,12,26,3,11,19,419,3,7
DeMar DeRozan,SF,30,SAS,68,2316,,,71%,29%,,-2.5,-4.1,60,62,84,19,216,11,972,51,64
Cheick Diallo,C,23,PHO,47,479,,,,19%,82%,-5.7,-7.0,13,6,33,5,17,3,50,3,11
Hamidou Diallo,SF,21,OKC,46,896,4%,28%,65%,3%,,1.0,-1.0,16,16,47,13,34,19,92,10,21
Gorgui Dieng,C,30,TOT,63,1096,,,,5%,95%,-3.3,0.1,17,10,61,10,38,20,177,8,23
Gorgui Dieng,C,30,MIN,46,778,,,,3%,98%,-5.3,-0.9,13,7,46,7,24,16,142,4,17
Gorgui Dieng,C,30,MEM,17,318,,,,12%,88%,1.6,2.5,4,3,15,3,14,4,35,4,6
Spencer Dinwiddie,PG,26,BRK,64,1994,85%,16%,,,,0.8,3.2,103,22,64,30,201,14,1033,40,53
Donte DiVincenzo,SG,23,MIL,66,1520,33%,64%,3%,,,13.3,5.8,49,22,47,11,32,21,360,4,27
Luka Dončić,PG,20,DAL,61,2047,53%,42%,5%,,,5.4,1.2,153,62,49,34,248,11,1320,80,67
Luguentz Dort,SF,20,OKC,36,820,3%,21%,74%,2%,,3.6,2.5,10,4,43,2,26,21,64,9,12
Damyean Dotson,SG,25,NYK,48,836,3%,81%,16%,,,-4.6,2.4,13,4,28,1,13,5,144,2,7
Sekou Doumbouya,PF,19,DET,38,754,,,15%,86%,,-10.9,-8.9,3,9,29,10,28,3,45,10,27
PJ Dozier,SG,23,DEN,29,412,14%,57%,28%,2%,,-4.9,-8.1,16,4,14,5,13,6,153,2,9
Goran Dragić,PG,33,MIA,59,1663,71%,29%,,,,3.3,0.8,87,24,46,17,77,18,718,14,27
Andre Drummond,C,26,TOT,57,1879,,,,,100%,-5.9,-1.6,68,53,83,41,142,7,374,31,93
Andre Drummond,C,26,DET,49,1654,,,,,100%,-4.4,-0.5,56,47,70,35,122,7,341,24,82
