SEASON,PLAYER_NAME,TEAM_ID,POS_EST
2013-14,Tobias Harris,1610612753.0,3.74
2013-14,Udonis Haslem,1610612748.0,3.74
2013-14,Spencer Hawes,,5.0
2013-14,Spencer Hawes,1610612755.0,5.0
2013-14,Spencer Hawes,1610612739.0,5.0
2013-14,Chuck Hayes,,4.88
2013-14,Chuck Hayes,1610612758.0,4.93
2013-14,Chuck Hayes,1610612761.0,4.8
2013-14,Gordon Hayward,1610612762.0,2.43
2013-14,Gerald Henderson,1610612766.0,2.12
2013-14,Xavier Henry,1610612747.0,2.88
2013-14,John Henson,1610612749.0,4.28
2013-14,Roy Hibbert,1610612754.0,5.0
2013-14,J.J. Hickson,1610612743.0,4.82
2013-14,Nene,1610612764.0,4.27
2013-14,George Hill,1610612754.0,1.04
2013-14,Jordan Hill,1610612747.0,4.15
2013-14,Solomon Hill,1610612754.0,2.75
2013-14,Kirk Hinrich,1610612741.0,1.27
2013-14,Jrue Holiday,1610612740.0,1.06
2013-14,Ryan Hollins,1610612746.0,4.84
2013-14,Scotty Hopson,1610612739.0,2.0
2013-14,Al Horford,1610612737.0,4.88
2013-14,Dwight Howard,1610612745.0,4.96
2013-14,Robbie Hummel,1610612750.0,3.15
2013-14,Kris Humphries,1610612738.0,4.42
2013-14,Serge Ibaka,1610612760.0,4.13
2013-14,Andre Iguodala,1610612744.0,2.82
2013-14,Ersan Ilyasova,1610612749.0,4.26
2013-14,Kyrie Irving,1610612739.0,1.0
2013-14,Royal Ivey,1610612760.0,1.0
2013-14,Jarrett Jack,1610612739.0,1.5
2013-14,Reggie Jackson,1610612760.0,1.0
2013-14,Stephen Jackson,1610612746.0,3.71
2013-14,Bernard James,1610612742.0,5.0
2013-14,Damion James,1610612759.0,2.77
2013-14,LeBron James,1610612748.0,3.93
2013-14,Mike James,1610612741.0,1.0
2013-14,Antawn Jamison,1610612746.0,4.01
2013-14,Othyus Jeffers,,1.89
2013-14,Othyus Jeffers,1610612759.0,2.13
2013-14,Othyus Jeffers,1610612750.0,1.2
2013-14,Al Jefferson,1610612766.0,5.0
