SEASON,PLAYER_ID,AGE,EXP
2020-21,202322.0,30.0,8.0
2018-19,202322.0,28.0,7.0
2017-18,202322.0,27.0,6.0
2016-17,202322.0,26.0,5.0
2015-16,202322.0,25.0,4.0
2014-15,202322.0,24.0,3.0
2013-14,202322.0,23.0,2.0
2022-23,202322.0,32.0,9.0
2021-22,1629723.0,26.0,2.0
2020-21,1629723.0,25.0,1.0
2019-20,1629723.0,24.0,0.0
2022-23,1629723.0,27.0,3.0
2021-22,1628381.0,24.0,4.0
2020-21,1628381.0,23.0,3.0
2019-20,1628381.0,22.0,2.0
2018-19,1628381.0,21.0,1.0
2017-18,1628381.0,20.0,0.0
2022-23,1628381.0,25.0,5.0
2021-22,1630637.0,24.0,0.0
2021-22,1630637.0,24.0,0.0
2022-23,1630637.0,25.0,1.0
2022-23,1631219.0,20.0,0.0
2021-22,203954.0,28.0,5.0
2020-21,203954.0,27.0,4.0
2019-20,203954.0,26.0,3.0
2018-19,203954.0,25.0,2.0
2017-18,203954.0,24.0,1.0
2016-17,203954.0,23.0,0.0
2022-23,203954.0,29.0,6.0
2021-22,1630580.0,22.0,0.0
2022-23,1630580.0,23.0,1.0
2021-22,204060.0,34.0,7.0
2020-21,204060.0,33.0,6.0
2019-20,204060.0,32.0,5.0
2018-19,204060.0,31.0,4.0
2017-18,204060.0,30.0,3.0
2016-17,204060.0,29.0,2.0
2015-16,204060.0,28.0,1.0
2014-15,204060.0,27.0,0.0
2022-23,204060.0,35.0,8.0
2021-22,203925.0,30.0,7.0
2020-21,203925.0,29.0,6.0
2019-20,203925.0,28.0,5.0
2018-19,203925.0,27.0,4.0
2017-18,203925.0,26.0,3.0
2016-17,203925.0,25.0,2.0
2015-16,203925.0,24.0,1.0
2014-15,203925.0,23.0,0.0
2022-23,203925.0,31.0,8.0
2021-22,1629111.0,26.0,0.0
2022-23,1629111.0,27.0,1.0
2021-22,202710.0,32.0,10.0
2020-21,202710.0,31.0,9.0
2019-20,202710.0,30.0,8.0
2018-19,202710.0,29.0,7.0
2018-19,202710.0,29.0,7.0
2017-18,202710.0,28.0,6.0
2016-17,202710.0,27.0,5.0
2015-16,202710.0,26.0,4.0
2014-15,202710.0,25.0,3.0
2013-14,202710.0,24.0,2.0
2022-23,202710.0,33.0,11.0
2021-22,1628975.0,26.0,3.0
2021-22,1628975.0,26.0,3.0
2020-21,1628975.0,25.0,2.0
2019-20,1628975.0,24.0,1.0
2018-19,1628975.0,23.0,0.0
2022-23,1628975.0,27.0,4.0
2021-22,1630692.0,23.0,0.0
2022-23,1630692.0,24.0,1.0
2021-22,1629670.0,23.0,1.0
2020-21,1629670.0,22.0,0.0
2022-23,1629670.0,24.0,2.0
2022-23,1629670.0,24.0,2.0
2021-22,201950.0,31.0,12.0
2020-21,201950.0,30.0,11.0
2019-20,201950.0,29.0,10.0
2018-19,201950.0,28.0,9.0
2017-18,201950.0,27.0,8.0
2016-17,201950.0,26.0,7.0
2015-16,201950.0,25.0,6.0
2014-15,201950.0,24.0,5.0
2013-14,201950.0,23.0,4.0
2022-23,201950.0,32.0,13.0
2021-22,1626196.0,28.0,6.0
2021-22,1626196.0,28.0,6.0
2020-21,1626196.0,27.0,5.0
2019-20,1626196.0,26.0,4.0
2018-19,1626196.0,25.0,3.0
2017-18,1626196.0,24.0,2.0
2016-17,1626196.0,23.0,1.0
2015-16,1626196.0,22.0,0.0
2022-23,1626196.0,29.0,7.0
2022-23,1626196.0,29.0,7.0
2021-22,1630595.0,20.0,0.0
2022-23,1630595.0,21.0,1.0
2022-23,1631216.0,20.0,0.0
2021-22,1629006.0,23.0,3.0
2020-21,1629006.0,22.0,2.0
2019-20,1629006.0,21.0,1.0
2018-19,1629006.0,20.0,0.0
2022-23,1629006.0,24.0,4.0
2022-23,1631169.0,20.0,0.0
2021-22,1628997.0,26.0,2.0
2020-21,1628997.0,25.0,1.0
