"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Brian Roberts","POR",10,36,82,8,2,5,0.4,0,4,0,0,4,4,0,0,0,1,1,0,0.4444444444444444,0.43975555555555557,0.2222222222222222,0.3333333333333333,0,0,0,0,0,14.444444444444445
"Andre Miller","SAS",4,35,68,9,2,4,0.5,1,3,0.3333333333333333,0.3333333333333333,2,2,2,0,3,0.5,1,0,0.42857142857142855,0.54995,0.5,0.5625,2,1,0.25,0,0,10.38961038961039
"KJ McDaniels","HOU",4,34,77,9,3,10,0.3,1,3,0.3333333333333333,0.3333333333333333,0,2,4,0,3,0.3333333333333333,0.3333333333333333,0,0.23076923076923078,0.4785153846153846,0.34615384615384615,0.34615384615384615,0,3,0.3,0,0,14.444444444444445
"Avery Bradley","BOS",1,33,68,18,6,9,0.6666666666666666,1,7,0.14285714285714285,0.14285714285714285,3,8,4,3,0,0.6666666666666666,0.6666666666666666,1,0.4375,0.527384375,0.46875,0.5294117647058824,0,0,0,1,0.14285714285714285,22.78481012658228
"David Lee","DAL",2,33,66,12,6,8,0.75,0,0,0,0,0,10,2,0,0,0.8333333333333334,0.8333333333333334,0,0,0.5994625,0.75,0.75,0,0,0,0,0,11.267605633802818
"Chris Kaman","POR",4,32,63,14,7,18,0.3888888888888889,0,0,0,0,0,10,4,0,0,0.7142857142857143,0.7142857142857143,0,0,0.3900611111111111,0.3888888888888889,0.3888888888888889,0,1,0.05555555555555555,0,0,33.333333333333336
"Kelly Olynyk","BOS",4,32,66,2,1,6,0.16666666666666666,0,3,0,0,0,2,0,0,0,1,1,0,0.3333333333333333,0.5289166666666667,0.1111111111111111,0.1111111111111111,0,2,0.3333333333333333,0,0,17.105263157894736
"Lucas Nogueira","TOR",5,29,55,6,3,4,0.75,0,0,0,0,0,6,0,0,0,1,1,0,0,0.73475,0.75,0.75,0,0,0,0,0,7.142857142857142
"Kirk Hinrich","ATL",6,27,49,5,1,4,0.25,1,3,0.3333333333333333,0.3333333333333333,0,0,2,3,0,0,0,1,0.42857142857142855,0.45712857142857144,0.35714285714285715,0.35714285714285715,0,0,0,0,0,12.06896551724138
"Anthony Tolliver","DET",3,26,45,4,2,2,1,0,2,0,0,0,4,0,0,0,1,1,0,0.5,0.4188125,0.5,0.5,0,0,0,0,0,8.16326530612245
"Pablo Prigioni","LAC",5,26,56,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0.4,0.43506999999999996,0,0,0,0,0,0,0,12.698412698412698
"Jonathon Simmons","SAS",3,26,47,11,2,7,0.2857142857142857,2,3,0.6666666666666666,0.6666666666666666,1,0,4,6,0,0,0,1,0.3,0.5302800000000001,0.5,0.5,2,3,0.42857142857142855,1,0.3333333333333333,23.52941176470588
"PJ Hairston","MEM",2,22,39,5,1,3,0.3333333333333333,1,3,0.3333333333333333,0.3333333333333333,0,2,0,3,0,1,1,1,0.5,0.5059583333333334,0.4166666666666667,0.35714285714285715,0,0,0,0,0,18.181818181818183
"Reggie Bullock","DET",2,22,39,12,3,3,1,2,3,0.6666666666666666,0.6666666666666666,0,6,0,6,0,1,1,1,0.5,0.6237083333333333,1,1,0,0,0,0,0,14.634146341463415
"Charlie Villanueva","DAL",4,20,42,9,2,7,0.2857142857142857,1,5,0.2,0.2,2,4,0,3,0,1,1,1,0.4166666666666667,0.49166249999999995,0.2916666666666667,0.34615384615384615,0,0,0,0,0,29.787234042553195
"Lamar Patterson","ATL",4,20,37,6,1,4,0.25,1,3,0.3333333333333333,0.3333333333333333,1,2,0,3,0,1,1,1,0.42857142857142855,0.5518642857142857,0.35714285714285715,0.42857142857142855,0,1,0.25,0,0,25.58139534883721
"Dorell Wright","MIA",5,19,39,16,3,5,0.6,2,5,0.4,0.4,4,0,6,6,0,0,0,1,0.5,0.48832000000000003,0.6,0.6666666666666666,0,1,0.2,0,0,27.906976744186046
"Troy Daniels","CHA",4,18,34,2,1,5,0.2,0,3,0,0,0,2,0,0,0,1,1,0,0.375,0.44580625,0.125,0.125,0,1,0.2,0,0,22.22222222222222
"Jordan Hill","IND",5,15,30,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,9.09090909090909
"JaVale McGee","DAL",2,14,29,4,1,2,0.5,0,0,0,0,2,2,0,0,0,1,1,0,0,0.41345,0.5,0.4,0,0,0,0,0,24.242424242424242
"Noah Vonleh","POR",6,12,25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3818,0,0,0,1,0.3333333333333333,0,0,11.11111111111111
"Montrezl Harrell","HOU",2,12,25,3,1,2,0.5,0,1,0,0,1,0,2,0,0,0,0,0,0.3333333333333333,0.6404833333333334,0.3333333333333333,0.375,0,0,0,0,0,16.666666666666668
"Jeremy Lamb","CHA",3,12,24,11,4,8,0.5,1,1,1,1,0,2,6,3,0,0.25,0.25,1,0.1111111111111111,0.4896277777777778,0.6111111111111112,0.6111111111111112,0,1,0.125,0,0,34.61538461538461
"Jorge Gutierrez","CHA",3,12,24,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46799999999999997,0,0,0,0,0,0,0,15.384615384615383
"Andrew Goudelock","HOU",2,11,24,6,3,5,0.6,0,1,0,0,0,2,4,0,0,0.3333333333333333,0.3333333333333333,0,0.16666666666666666,0.4245083333333333,0.5,0.5,0,0,0,0,0,30
"James Young","BOS",3,10,19,2,1,2,0.5,0,1,0,0,0,2,0,0,0,1,1,0,0.3333333333333333,0.4496166666666667,0.3333333333333333,0.3333333333333333,0,0,0,0,0,18.181818181818183
"Joe Young","IND",4,10,21,9,2,4,0.5,1,4,0.25,0.25,2,0,4,3,0,0,0,1,0.5,0.4094625,0.4375,0.5,0,1,0.25,0,0,45.833333333333336
"Glenn Robinson III","IND",4,10,21,7,3,4,0.75,0,0,0,0,1,6,0,0,0,1,1,0,0,0.519225,0.75,0.875,0,0,0,0,0,16.666666666666668
"Josh Huestis","OKC",2,10,21,3,0,1,0,1,2,0.5,0.5,0,0,0,3,0,0,0,1,0.6666666666666666,0.46493333333333337,0.5,0.5,0,0,0,0,0,12
"Jordan Mickey","BOS",2,10,18,4,2,4,0.5,0,0,0,0,0,4,0,0,0,1,1,0,0,0.682975,0.5,0.5,0,0,0,0,0,19.047619047619047
"Nazr Mohammed","OKC",5,10,18,2,1,2,0.5,0,0,0,0,0,2,0,0,0,1,1,0,0,0.5486,0.5,0.5,0,0,0,0,0,14.285714285714286
"Pat Connaughton","POR",6,8,16,8,1,2,0.5,2,3,0.6666666666666666,0.6666666666666666,0,2,0,3,3,1,1,0.5,0.6,0.43551,0.8,0.8,0,0,0,0,0,29.41176470588235
"Luis Montero","POR",6,8,15,8,1,1,1,2,2,1,1,0,2,0,3,3,1,1,0.5,0.6666666666666666,0.4228,1.3333333333333333,1.3333333333333333,0,0,0,0,0,18.75
"CJ Wilcox","LAC",2,7,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398,0,0,0,0,0,0,0,5.555555555555555
"Aaron Harrison","CHA",2,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Briante Weber","MIA",2,6,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4079,0,0,0,0,0,0,0,8.333333333333334
"Tyler Hansbrough","CHA",2,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jordan McRae","CLE",2,4,10,9,3,3,1,1,1,1,1,0,2,4,0,3,0.3333333333333333,0.3333333333333333,0,0.25,0.49555,1.125,1.125,0,0,0,0,0,36.36363636363637
"Jeff Ayres","LAC",2,2,7,3,1,1,1,0,0,0,0,1,2,0,0,0,1,1,0,0,0.9107,1,1.5,0,0,0,0,0,12.5
"Jodie Meeks","DET",1,2,3,2,1,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0.3837,1,1,0,0,0,0,0,33.333333333333336
"Spencer Dinwiddie","DET",1,2,3,2,1,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0.5845,1,1,0,0,0,0,0,33.333333333333336
"John Holland","BOS",1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4266,0,0,0,0,0,0,0,50
