SEASON,MINUTES_ON,PLAYER_NAME,PLAYER_ID,TEAM_ID,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,TIME_OF_POSS,TEAM,OFF_POSS,BALL_HOG%,AGE,EXP,POS_EST
2019-20,1845,Jonas Valanciunas,202685,1610612763,14.279,111.4,MEM,3885,12.0,28,7,5.0
2018-19,564,Jonas Valanciunas,202685,1610612761,14.05,35.2,TOR,1187,12.7,27,6,5.0
2018-19,527,Jonas Valanciunas,202685,1610612763,15.229,48.1,MEM,1075,17.6,27,6,5.0
2017-18,1727,Jonas Valanciunas,202685,1610612761,14.929,107.4,TOR,3496,12.3,26,5,5.0
2016-17,2066,Jonas Valanciunas,202685,1610612761,15.785,104.7,TOR,4040,9.9,25,4,4.95
2015-16,1557,Jonas Valanciunas,202685,1610612761,16.479,76.3,TOR,3014,9.2,24,3,5.0
2014-15,2096,Jonas Valanciunas,202685,1610612761,16.037,90.2,TOR,4031,8.4,23,2,5.0
2013-14,2282,Jonas Valanciunas,202685,1610612761,16.29,105.7,TOR,4348,9.0,22,1,5.0
2022-23,1947,Jonas Valanciunas,202685,1610612740,14.591,121.5,NOP,4016,12.4,31,10,5.0
2022-23,216,Johnny Juzang,1630548,1610612762,14.147,11.3,UTA,497,9.6,22,0,2.26
2021-22,1214,Caris LeVert,1627747,1610612754,14.921,181.9,IND,2442,30.0,27,5,2.27
2021-22,567,Caris LeVert,1627747,1610612739,15.304,65.5,CLE,1124,22.8,27,5,1.95
2020-21,334,Caris LeVert,1627747,1610612751,13.179,59.0,BKN,714,37.6,26,4,1.88
