SEASON,PLAYER_NAME,PLAYER_ID,TEAM_ID,SECONDS_PER_POSS_OFFENSE_PLAYER_ON,TIME_OF_POSS,TEAM,OFF_POSS,BALL_HANDLE%
2021-22,Amir Coffey,1629599.0,1610612746,14.777,90.8,LAC,3183.0,11.6
2022-23,Amir Coffey,1629599.0,1610612746,14.863,28.3,LAC,1285.0,8.9
2013-14,Amir Johnson,101161.0,1610612761,16.131,85.8,TOR,4206.0,7.6
2014-15,Amir Johnson,101161.0,1610612761,15.854,74.2,TOR,3820.0,7.4
2015-16,Amir Johnson,101161.0,1610612738,14.02,71.8,BOS,3619.0,8.5
2016-17,Amir Johnson,101161.0,1610612738,14.964,60.6,BOS,3156.0,7.7
2017-18,Amir Johnson,101161.0,1610612755,13.942,45.9,PHI,2418.0,8.2
2018-19,Amir Johnson,101161.0,1610612755,14.045,23.6,PHI,1120.0,9.0
2013-14,Anderson Varejao,2760.0,1610612739,15.821,93.9,CLE,3419.0,10.4
2014-15,Anderson Varejao,2760.0,1610612739,15.87,24.8,CLE,1207.0,7.8
2015-16,Anderson Varejao,2760.0,1610612739,15.82,16.4,CLE,617.0,10.1
2015-16,Anderson Varejao,2760.0,1610612744,14.472,9.1,GSW,375.0,10.1
2016-17,Anderson Varejao,2760.0,1610612744,14.435,5.7,GSW,191.0,12.4
2020-21,Anderson Varejao,2760.0,1610612739,14.654,2.6,CLE,78.0,13.6
2013-14,Andray Blatche,101154.0,1610612751,15.908,95.3,BKN,3100.0,11.6
2013-14,Andre Drummond,203083.0,1610612765,15.408,73.1,DET,5112.0,5.6
2014-15,Andre Drummond,203083.0,1610612765,15.688,70.1,DET,4827.0,5.6
2015-16,Andre Drummond,203083.0,1610612765,15.202,94.8,DET,5245.0,7.1
2016-17,Andre Drummond,203083.0,1610612765,15.295,99.6,DET,4707.0,8.3
2017-18,Andre Drummond,203083.0,1610612765,15.091,140.5,DET,5257.0,10.6
2018-19,Andre Drummond,203083.0,1610612765,15.567,132.4,DET,5336.0,9.6
