PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TIME_OF_POSS,TOUCHES,FRONT_CT_TOUCHES,AVG_DRIB_PER_TOUCH,SEASON
201609,Goran Dragic,MIA,85.7,1077,459,4.81,2015-16
203084,Harrison Barnes,GSW,31.5,992,632,0.81,2015-16
202355,Hassan Whiteside,MIA,6.3,265,167,0.4,2015-16
203546,Ian Clark,GSW,18.8,306,163,3.02,2015-16
101133,Ian Mahinmi,IND,6.4,251,145,0.27,2015-16
202697,Iman Shumpert,CLE,13.9,315,211,1.75,2015-16
202738,Isaiah Thomas,BOS,43.1,543,223,4.68,2015-16
200826,J.J. Barea,DAL,25.1,267,99,5.62,2015-16
200755,JJ Redick,LAC,5.6,199,175,0.99,2015-16
2747,JR Smith,CLE,26.4,773,501,1.14,2015-16
203210,JaMychal Green,MEM,2.9,118,75,0.37,2015-16
201580,JaVale McGee,DAL,0.5,19,9,0.26,2015-16
203109,Jae Crowder,BOS,9.9,362,236,0.73,2015-16
2037,Jamal Crawford,LAC,24.1,321,157,4.06,2015-16
201935,James Harden,HOU,33.6,411,166,4.28,2015-16
201949,James Johnson,TOR,4.4,112,74,1.61,2015-16
2592,James Jones,CLE,3.2,87,55,0.46,2015-16
203949,James Michael McAdoo,GSW,1.6,60,27,0.42,2015-16
203923,James Young,BOS,0.4,15,10,0.4,2015-16
203096,Jared Sullinger,BOS,4.6,160,114,0.57,2015-16
1626185,Jarell Martin,MEM,2.6,75,33,0.7,2015-16
1891,Jason Terry,HOU,12.4,187,71,3.53,2015-16
201574,Jason Thompson,TOR,1.8,81,31,0.16,2015-16
201965,Jeff Ayres,LAC,0.0,1,1,0.0,2015-16
201145,Jeff Green,LAC,8.4,192,121,1.55,2015-16
201952,Jeff Teague,ATL,56.8,658,256,5.18,2015-16
203087,Jeremy Lamb,CHA,1.4,20,15,2.9,2015-16
202391,Jeremy Lin,CHA,26.9,319,142,4.95,2015-16
201975,Jodie Meeks,DET,0.1,3,3,1.67,2015-16
2207,Joe Johnson,MIA,34.4,643,448,2.57,2015-16
1626202,Joe Young,IND,2.8,29,13,5.17,2015-16
204066,John Holland,BOS,0.0,1,1,2.0,2015-16
201973,Jonas Jerebko,BOS,7.6,314,180,0.41,2015-16
202685,Jonas Valanciunas,TOR,17.6,616,303,0.34,2015-16
203613,Jonathon Simmons,SAS,2.6,44,29,3.3,2015-16
200770,Jordan Farmar,MEM,22.4,240,81,5.41,2015-16
201941,Jordan Hill,IND,1.2,30,15,0.23,2015-16
203895,Jordan McRae,CLE,0.8,9,5,4.0,2015-16
1626175,Jordan Mickey,BOS,0.6,23,13,0.61,2015-16
