"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Bruce Brown","BKN",12,277,538,95,38,68,0.5588235294117647,2,11,0.18181818181818182,0.18181818181818182,13,64,12,6,0,0.8421052631578947,0.9411764705882353,1,0.13924050632911392,0.5334753164556962,0.5189873417721519,0.5523255813953488,8,9,0.1323529411764706,0,0,16.24790619765494
"Lou Williams","ATL",18,277,544,139,37,80,0.4625,13,30,0.43333333333333335,0.43333333333333335,26,16,58,18,21,0.21621621621621623,0.21621621621621623,0.46153846153846156,0.2727272727272727,0.4653040909090909,0.5136363636363637,0.5650406504065041,0,3,0.0375,0,0,23.96694214876033
"Bryn Forbes","MIL",20,273,575,131,13,23,0.5652173913043478,33,89,0.3707865168539326,0.3707865168539326,6,24,2,96,3,0.9230769230769231,0.9230769230769231,0.9696969696969697,0.7946428571428571,0.5255617117117117,0.5580357142857143,0.5745614035087719,0,1,0.043478260869565216,0,0,18.0327868852459
"Dorian Finney-Smith","DAL",7,271,524,72,10,27,0.37037037037037035,16,37,0.43243243243243246,0.43243243243243246,4,12,8,48,0,0.6,0.8571428571428571,1,0.578125,0.55219375,0.53125,0.5454545454545454,6,4,0.14814814814814814,1,0.02702702702702703,13.06532663316583
"Facundo Campazzo","DEN",10,270,544,93,10,26,0.38461538461538464,19,48,0.3958333333333333,0.40425531914893614,16,4,16,51,6,0.2,0.2,0.8947368421052632,0.6486486486486487,0.5212828767123288,0.5202702702702703,0.5740740740740741,0,2,0.07692307692307693,0,0,15.311004784688997
"Torrey Craig","PHX",22,266,523,87,17,38,0.4473684210526316,15,37,0.40540540540540543,0.40540540540540543,8,26,8,45,0,0.7647058823529411,0.9285714285714286,1,0.49333333333333335,0.5482726666666666,0.5266666666666666,0.54375,6,2,0.05263157894736842,0,0,15.3184165232358
"Tim Hardaway Jr.","DAL",7,262,506,119,19,44,0.4318181818181818,23,57,0.40350877192982454,0.4107142857142857,12,22,16,60,9,0.5789473684210527,0.6111111111111112,0.8695652173913043,0.5643564356435643,0.5172335,0.5297029702970297,0.5462962962962963,2,8,0.18181818181818182,2,0.03508771929824561,19.554030874785592
"Damian Lillard","POR",6,248,491,206,27,56,0.48214285714285715,35,78,0.44871794871794873,0.45454545454545453,47,10,44,21,84,0.18518518518518517,0.18518518518518517,0.2,0.582089552238806,0.4995515503875969,0.5932835820895522,0.6568627450980392,0,8,0.14285714285714285,0,0,30.4029304029304
"CJ McCollum","POR",6,240,464,124,36,72,0.5,14,42,0.3333333333333333,0.3333333333333333,10,30,42,30,12,0.4166666666666667,0.4166666666666667,0.7142857142857143,0.3684210526315789,0.47675833333333334,0.5,0.5166666666666667,0,4,0.05555555555555555,2,0.047619047619047616,25.335892514395393
"Kristaps Porzingis","DAL",7,233,450,92,26,45,0.5777777777777777,8,27,0.2962962962962963,0.2962962962962963,16,48,4,24,0,0.9230769230769231,0.96,1,0.375,0.49284583333333337,0.5277777777777778,0.56875,2,3,0.06666666666666667,0,0,16.085271317829456
"Robert Covington","POR",6,228,447,56,7,14,0.5,11,22,0.5,0.5,9,10,4,33,0,0.7142857142857143,1,1,0.6111111111111112,0.5803791666666667,0.6527777777777778,0.6829268292682927,4,1,0.07142857142857142,0,0,9.879032258064516
"LeBron James","LAL",6,224,426,140,36,66,0.5454545454545454,18,48,0.375,0.375,14,20,52,21,33,0.2777777777777778,0.2857142857142857,0.3888888888888889,0.42105263157894735,0.5405679824561404,0.5526315789473685,0.5737704918032787,2,6,0.09090909090909091,0,0,29.81744421906694
"Rajon Rondo","LAC",13,220,411,55,7,25,0.28,11,28,0.39285714285714285,0.39285714285714285,8,2,12,27,6,0.14285714285714285,0.14285714285714285,0.8181818181818182,0.5283018867924528,0.5248179245283019,0.44339622641509435,0.4661016949152542,0,2,0.08,0,0,15.63169164882227
"Matisse Thybulle","PHI",12,220,453,63,14,18,0.7777777777777778,11,34,0.3235294117647059,0.3235294117647059,2,28,0,33,0,1,1,1,0.6538461538461539,0.5796778846153846,0.5865384615384616,0.5833333333333334,0,2,0.1111111111111111,0,0,10.980392156862745
"Luke Kennard","LAC",15,219,425,84,10,14,0.7142857142857143,21,51,0.4117647058823529,0.4117647058823529,1,12,8,54,9,0.6,0.6,0.8571428571428571,0.7846153846153846,0.5260192307692307,0.6384615384615384,0.6461538461538462,0,0,0,0,0,14.255765199161427
